XMID,DBA,Status,Sales Rep,Portfolio,Date Added,Date Approved,Date Assigned,Date Created,Date Submitted,Date Closed,VIPStatus
,Auto Space Retreat,Received,Tim Reynolds,HRSS - Swoonlight,7/1/2022 6:20:45 PM,,,7/1/2022 6:20:45 PM,7/1/2022 6:32:21 PM,,
,MEGA GLATT MART INC,Received,JUDAH ZAVDI,SWIPE PAYMENT SOLUTIONS INC,7/1/2022 5:26:33 PM,,,7/1/2022 5:26:33 PM,7/1/2022 5:29:06 PM,,
,Fantasy Nail & Spa,Received,Leila Li,Leila Li,7/1/2022 5:16:06 PM,,,7/1/2022 5:16:06 PM,7/1/2022 5:16:06 PM,,
,Enjoy Massage,Received,Catherine Xu,Catherine Xu(Wenli Xiong),7/1/2022 5:14:25 PM,,,7/1/2022 5:14:25 PM,7/1/2022 5:14:25 PM,,
,21 USED CARS LLC,Received,Jo Rivera,Jo Rivera,7/1/2022 4:38:37 PM,,,7/1/2022 4:38:37 PM,7/1/2022 5:00:14 PM,,
,LONG BEACH TRUCK REPAIR CENTER,Received,Eusebio Garza,Eusebio Garza,7/1/2022 4:33:20 PM,,,7/1/2022 4:33:20 PM,7/1/2022 4:55:49 PM,,
,MOBILE MECHANIC SHOP LLC,Received,Justin Lowrance,Justin Lowrance,7/1/2022 4:23:40 PM,,,7/1/2022 4:23:40 PM,7/5/2022 9:24:08 AM,,
,Cardinale GMC,Draft,Catherine Holmes,Retained Merchants - Special Services,7/1/2022 4:19:14 PM,,,7/1/2022 4:19:14 PM,,,
,Goodtimes at 2626 (CD),Draft,Marcus Kern,BML Solutions,7/1/2022 4:14:37 PM,,,7/1/2022 4:14:37 PM,,,
,C & D DINER,Under Review,Nevada Coastal,Nevada Coastal,7/1/2022 4:13:57 PM,,,7/1/2022 4:13:57 PM,7/1/2022 4:45:21 PM,,
,TRANQUILITY SPA 20131-1204,Received,Hikyuu Inc,Hikyuu Inc(Leila),7/1/2022 4:10:16 PM,,,7/1/2022 4:10:16 PM,7/1/2022 4:10:16 PM,,
,GREEN COTTAGE RESTAURANT,Draft,Stefany Vargas,"WESTGATE SERVICES, LLC",7/1/2022 4:05:10 PM,,,7/1/2022 4:05:11 PM,,,
,ERNIE'S MOBILE TIRE & AUTO SVC,Received,Ray Ingram,Ray Ingram,7/1/2022 3:59:41 PM,,,7/1/2022 3:59:41 PM,7/1/2022 4:42:56 PM,,
,BONDS GROCERY,Received,Frank Griffin,Franklin C Griffin,7/1/2022 3:58:06 PM,,,7/1/2022 3:58:06 PM,7/1/2022 4:40:35 PM,,
,BOTTLE CAPS & SPIRITS,Received,Matthew Quesada,Matthew Quesada,7/1/2022 3:57:07 PM,,,7/1/2022 3:57:07 PM,7/1/2022 4:17:27 PM,,
,FZ Tire,Received,Neil Kassab,Neil Kassab,7/1/2022 3:50:10 PM,,,7/1/2022 3:50:10 PM,7/1/2022 4:46:12 PM,,
,MULCH & MORE - ECOMM,Received,Dave  Weber,Dave Weber,7/1/2022 3:38:03 PM,,,7/1/2022 3:38:03 PM,7/1/2022 4:26:58 PM,,
,Cope Property Management,Received,Julia Paige,ascent processing,7/1/2022 3:35:46 PM,,,7/1/2022 3:35:46 PM,7/1/2022 3:38:38 PM,,
,THE COUNTRY CLUB,Under Review,James Seale,James Seale,7/1/2022 3:23:37 PM,,,7/1/2022 3:23:37 PM,7/1/2022 4:34:19 PM,,
,SPECIAL CONSTRUCTION INC,Received,Melody Carmel,Melody Carmel,7/1/2022 3:20:21 PM,,,7/1/2022 3:20:21 PM,7/1/2022 3:26:12 PM,,
,BELFALLS CONSTRUCTION,Received,Melody Carmel,Melody Carmel,7/1/2022 3:19:20 PM,,,7/1/2022 3:19:20 PM,7/1/2022 4:20:18 PM,,
,VILLA DI ROMA,Pending,Lindsay Castronovo,Lindsay Castronovo,7/1/2022 3:08:26 PM,,,7/1/2022 3:08:27 PM,7/1/2022 3:17:05 PM,,
,MUSICIAN MADNESS,Received,Brandon Young,Brandon Young,7/1/2022 3:03:05 PM,,,7/1/2022 3:03:05 PM,7/1/2022 4:15:42 PM,,
,NO LOOSE ENDS,Received,Heriberto Torres,Heriberto Torres,7/1/2022 2:59:53 PM,,,7/1/2022 2:59:53 PM,7/1/2022 4:30:02 PM,,
,Brooklyn Cat Cafe - Retail,Received,Trace Wendell,"Dharma Payment, LLC",7/1/2022 2:58:29 PM,,,7/1/2022 2:58:29 PM,7/1/2022 3:21:26 PM,,
8739299330302188,KC'S PLACE RESTAURANT,Approved,Dan Emme,Dan Emme,7/1/2022 2:58:12 PM,7/5/2022 1:06:39 AM,,7/1/2022 2:58:12 PM,7/1/2022 3:06:36 PM,,
,Aransas Pass Seafood Packers,Draft,Tarrance Burton,Tarrance Burton,7/1/2022 2:54:04 PM,,,7/1/2022 2:54:04 PM,,,
554402000692426,BENNY'S MARKET & LIQUOR,Approved,Mo Shamout,"POS 360, INC.",7/1/2022 2:46:25 PM,7/5/2022 9:40:42 AM,,7/1/2022 2:46:25 PM,7/1/2022 2:57:04 PM,,
,EL HUE-KITO SNACK BAR,Received,Jesus Carmona,Jesus Carmona,7/1/2022 2:46:14 PM,,,7/1/2022 2:46:14 PM,7/1/2022 3:57:35 PM,,
,NEW DAY MB CHURCH,Received,John Twist,John Twist,7/1/2022 2:45:04 PM,,,7/1/2022 2:45:05 PM,7/1/2022 3:26:33 PM,,
,Revive Injury and Rehab,Draft,Brandon James,Savvy Financial,7/1/2022 2:44:44 PM,,,7/1/2022 2:44:44 PM,,,
,DOVE'S HARDWARE & OUTFITTERS,Received,Ashley Willoughby,Ashley Willoughby,7/1/2022 2:32:29 PM,,,7/1/2022 2:32:29 PM,7/1/2022 3:41:57 PM,,
,STREET SAINT INK,Received,William Winslow,Will Winslow,7/1/2022 2:30:06 PM,,,7/1/2022 2:30:07 PM,7/1/2022 3:38:07 PM,,
554402050039478,CAMELOT SALONS,Approved,Dave  Weber,Dave Weber,7/1/2022 2:18:26 PM,7/5/2022 7:07:42 AM,,7/1/2022 2:18:26 PM,7/1/2022 3:32:26 PM,,
,Grade Passed,Draft,Mick Maimes,GLP,7/1/2022 2:12:48 PM,,,7/1/2022 2:12:48 PM,,,
,Lambertville Express Mart,Received,Ziad Ibrahim,Ziad Ibrahim,7/1/2022 2:11:32 PM,,,7/1/2022 2:11:32 PM,7/1/2022 4:26:26 PM,,
,Satori Day Spa,Pending,Yang Li(Affiliate),Yang Li(Affiliate),7/1/2022 1:59:28 PM,,,7/1/2022 1:59:28 PM,7/1/2022 1:59:28 PM,,
,Mullins Towing,Received,Chuck Whitehead,Chuck Whitehead,7/1/2022 1:51:53 PM,,,7/1/2022 1:51:53 PM,7/1/2022 3:49:03 PM,,
,ABSO COMMUNICATIONS,Received,Michael Shaub,Michael Shaub,7/1/2022 1:50:37 PM,,,7/1/2022 1:50:37 PM,7/1/2022 3:23:37 PM,,
8739294150301391,Reflexology Spa,Approved,Special Life Trading,Special Life Trading,7/1/2022 1:47:07 PM,7/5/2022 5:40:44 AM,,7/1/2022 1:47:07 PM,7/1/2022 1:47:07 PM,,
,M and N smoke and Tobacco Cop,Pending,Hani Access Pay Inc,Access Pay Inc(Hani),7/1/2022 1:37:07 PM,,,7/1/2022 1:37:07 PM,7/1/2022 1:37:07 PM,,
,EAST TEXAS ZOO & GATOR PARK,Pending,Brandon Young,Brandon Young,7/1/2022 1:34:23 PM,,,7/1/2022 1:34:23 PM,7/1/2022 3:09:48 PM,,
,FALMOUTH DINER & GROCERY,Draft,Joe McKee,Priority Payments Midwest,7/1/2022 1:21:02 PM,,,7/1/2022 1:21:02 PM,,,
,Exterior Supply Center,Received,Les Dolberry,Les Dolberry 25,7/1/2022 1:06:07 PM,,,7/1/2022 1:06:07 PM,7/5/2022 9:33:45 AM,,
554402050039460,DOVE'S BAR-B-Q,Approved,Ashley Willoughby,Ashley Willoughby,7/1/2022 1:05:36 PM,7/5/2022 7:00:03 AM,,7/1/2022 1:05:36 PM,7/1/2022 2:59:23 PM,,
,US 1 Travel,Received,Julia Paige,ascent processing,7/1/2022 12:53:45 PM,,,7/1/2022 12:53:45 PM,7/1/2022 12:56:39 PM,,
554402009789397,Hollywood Nails & Spa,Approved,Yang Li(Affiliate),Yang Li(Affiliate),7/1/2022 12:47:32 PM,7/5/2022 4:36:15 AM,,7/1/2022 12:47:32 PM,7/1/2022 12:47:32 PM,,
,VILLA DI ROMA-ECOMM,Pending,Lindsay Castronovo,Lindsay Castronovo,7/1/2022 12:46:16 PM,,,7/1/2022 12:46:16 PM,7/1/2022 2:28:12 PM,,
8739299330302189,FORESTWOOD DENTAL,Approved,john kim,JOHN KIM,7/1/2022 12:44:29 PM,7/5/2022 3:34:28 AM,,7/1/2022 12:44:29 PM,7/1/2022 12:48:57 PM,,
,Luxur Fine Art Center,Received,Lucy Dong,Universal General,7/1/2022 12:44:08 PM,,,7/1/2022 12:44:08 PM,7/1/2022 12:44:08 PM,,
518089240798694,Village of Pleasant Hill Water,Approved,Cameron Barnwell,RedLine Data,7/1/2022 12:42:48 PM,7/1/2022 12:56:10 PM,,7/1/2022 12:42:48 PM,7/1/2022 12:43:15 PM,,
,BELOIT HYDROPONICS & LED,Received,Lindsay Castronovo,Lindsay Castronovo,7/1/2022 12:32:34 PM,,,7/1/2022 12:32:34 PM,7/1/2022 2:34:33 PM,,
554402040003543,Nu9ve Cantina & Steakhouse,Approved,Soroush Jafari,Soroush Jafari,7/1/2022 12:25:28 PM,7/5/2022 6:06:56 AM,,7/1/2022 12:25:28 PM,7/1/2022 1:11:44 PM,,
,CHICKEN LICIOUS,Draft,Kevin Zhao,ZBS-Kevin,7/1/2022 12:21:24 PM,,,7/1/2022 12:21:24 PM,,,
554402050039486,USA NO2 LIQUOR LLC,Approved,Kimberly Gardner,Kimberly Gardner,7/1/2022 12:19:58 PM,7/5/2022 7:53:17 AM,,7/1/2022 12:19:58 PM,7/1/2022 2:23:24 PM,,
,DEVIL'S LAKE AUTO,Draft,Kierstyn Repp,Kierstyn Repp,7/1/2022 12:17:33 PM,,,7/1/2022 12:17:33 PM,,,
,Xtreme Performance of New Orleans,Draft,David Olivier,Premium Processing Systems,7/1/2022 12:15:37 PM,,,7/1/2022 12:15:37 PM,,,
,Town of Coosada Volunteer Fire Department,Received,Jay Groundwater,Govt Portal,7/1/2022 12:13:35 PM,,,7/1/2022 12:13:35 PM,7/1/2022 12:15:19 PM,,
,Rhino Digital Marketing LLC,Received,STEVE SIEGAL,Steve Siegal,7/1/2022 12:09:29 PM,,,7/1/2022 12:09:29 PM,7/1/2022 12:10:23 PM,,
8739299330302191,NORWOOD AUCTIONS,Approved,Dawn Kane,Dawn Kane,7/1/2022 12:05:14 PM,7/5/2022 9:12:49 AM,,7/1/2022 12:05:14 PM,7/1/2022 2:44:41 PM,,
,PALOMAS MEXICAN RESTAURANT-ZARZAMORA,Pending,Enrique Jimenez,Enrique Jimenez,7/1/2022 12:05:07 PM,,,7/1/2022 12:05:07 PM,7/1/2022 2:54:58 PM,,
,Red Auto Works,Received,Debra   Holt,Enhanced House Accounts,7/1/2022 12:04:25 PM,,,7/1/2022 12:04:25 PM,7/1/2022 12:13:44 PM,,
,IBEW Local 369 WEB,Draft,Laura Thompson,"TermNet of the Midwest, Inc",7/1/2022 12:01:51 PM,,,7/1/2022 12:01:51 PM,,,
,Town of Coosada,Received,Jay Groundwater,Govt Portal,7/1/2022 12:01:09 PM,,,7/1/2022 12:01:09 PM,7/1/2022 12:07:51 PM,,
8739299045300043,Luna's Radiator & Mufflers,Approved,Carlos Hernandez,"Integrated Business Technologies, Inc.",7/1/2022 11:58:47 AM,7/5/2022 4:51:42 AM,,7/1/2022 11:58:47 AM,7/1/2022 12:23:33 PM,,
554402000692384,Golden Wu,Approved,Hikyuu Inc,Hikyuu Inc(Leila),7/1/2022 11:58:05 AM,7/5/2022 4:12:02 AM,,7/1/2022 11:58:05 AM,7/1/2022 11:58:05 AM,,
,WES BURGER SHACK & MORE,Draft,Molly Godwin,Molly Godwin,7/1/2022 11:53:42 AM,,,7/1/2022 11:53:42 AM,,,
,BROTHERHOOD AUTOMOTIVE,Pending,Ashley Willoughby,Ashley Willoughby,7/1/2022 11:51:57 AM,,,7/1/2022 11:51:57 AM,7/1/2022 2:39:37 PM,,
56310000007764,VANCE FORD LINCOLIN-SERVICE,Approved,CHRISTINA  CARRIER ,CHRISTINA CARRIER,7/1/2022 11:48:57 AM,7/1/2022 2:52:07 PM,,7/1/2022 11:48:57 AM,7/1/2022 12:06:15 PM,,
,Chicken Express Frisco,Draft,Patrick Page,Patrick Page - Axis POS,7/1/2022 11:45:44 AM,,,7/1/2022 11:45:44 AM,,,
,Kansas Kountry Inn,Pending,Shane Powell,Priority Payments Denver,7/1/2022 11:45:32 AM,,,7/1/2022 11:45:32 AM,7/1/2022 11:54:04 AM,,
554402000692327,Comix Cafe,Approved,Josh Dempsey,Enhanced Payment Systems LLC,7/1/2022 11:38:21 AM,7/1/2022 2:46:43 PM,,7/1/2022 11:38:21 AM,7/1/2022 11:38:55 AM,,
554402050039445,GATES BAR B Q- LEAWOOD,Approved,Michael Ostrander,Michael Ostrander,7/1/2022 11:37:33 AM,7/5/2022 4:48:28 AM,,7/1/2022 11:37:33 AM,7/1/2022 2:21:36 PM,,
56310000007765,VANCE FORD LINCOLIN-PARTS,Approved,CHRISTINA  CARRIER ,CHRISTINA CARRIER,7/1/2022 11:37:01 AM,7/1/2022 2:55:11 PM,,7/1/2022 11:37:01 AM,7/1/2022 11:47:44 AM,,
,LA JAROCHA DE SAVANNAH LLC,Pending,George Bahamon,George Bahamon,7/1/2022 11:36:53 AM,,,7/1/2022 11:36:53 AM,7/1/2022 2:28:53 PM,,
,Hydrate and Clean Care,Received,Mick Maimes,GLP,7/1/2022 11:25:03 AM,,,7/1/2022 11:25:03 AM,7/1/2022 11:25:05 AM,,
554402050039452,GATES BAR B Q- BROOKLYN,Approved,Michael Ostrander,Michael Ostrander,7/1/2022 11:24:58 AM,7/5/2022 5:26:52 AM,,7/1/2022 11:24:59 AM,7/1/2022 2:18:00 PM,,
,Cut Diet Boost,Received,Mick Maimes,GLP,7/1/2022 11:17:52 AM,,,7/1/2022 11:17:52 AM,7/1/2022 11:17:56 AM,,
554402050039429,GATES BAR B Q- HWY 40,Approved,Michael Ostrander,Michael Ostrander,7/1/2022 11:10:43 AM,7/1/2022 2:49:15 PM,,7/1/2022 11:10:43 AM,7/1/2022 11:27:08 AM,,
554402009001967,Infinity Nails,Approved,Richard Do,186- Richard Do- 9253,7/1/2022 11:08:38 AM,7/1/2022 3:11:41 PM,,7/1/2022 11:08:38 AM,7/1/2022 11:40:35 AM,,
,Alluring Hair Glow,Received,Mick Maimes,GLP,7/1/2022 11:08:00 AM,,,7/1/2022 11:08:00 AM,7/1/2022 11:18:08 AM,,
554402040702896,CHINA STAR RESTAURANT,Approved,Kevin Zhao,ZBS-Kevin,7/1/2022 11:05:38 AM,7/1/2022 1:30:11 PM,,7/1/2022 11:05:38 AM,7/1/2022 11:34:06 AM,,
8739299330302183,GASCAR AUTO BROKERS INC,Approved,Wilfredo  Leguisamon,Wilfredo Leguisamon,7/1/2022 11:05:34 AM,7/1/2022 2:43:08 PM,,7/1/2022 11:05:34 AM,7/1/2022 11:39:26 AM,,
554402000692335,Casa Robles,Pending,Chris Johannessen,Chris Johannessen,7/1/2022 11:02:57 AM,7/1/2022 3:16:48 PM,,7/1/2022 11:02:57 AM,7/1/2022 11:07:42 AM,,
554402050039411,GATES BAR B Q- MAIN ST,Approved,Michael Ostrander,Michael Ostrander,7/1/2022 10:59:23 AM,7/1/2022 2:42:08 PM,,7/1/2022 10:59:23 AM,7/1/2022 11:15:57 AM,,
56310000007763,VANCE CHRYSLER MIAMI-PARTS,Approved,CHRISTINA  CARRIER ,CHRISTINA CARRIER,7/1/2022 10:56:36 AM,7/1/2022 2:48:40 PM,,7/1/2022 10:56:36 AM,7/1/2022 11:33:07 AM,,
554402050039395,GATES BAR B Q- CORPORATE,Approved,Michael Ostrander,Michael Ostrander,7/1/2022 10:50:38 AM,7/1/2022 2:27:34 PM,,7/1/2022 10:50:38 AM,7/1/2022 11:08:54 AM,,
,ADAMS TIRE SHOP AND AUTO,Pending,Don Hutter,Don Hutter,7/1/2022 10:35:38 AM,,,7/1/2022 10:35:38 AM,7/1/2022 11:03:55 AM,,
56310000007762,VANCE CHRYSLER MIAMI-SERVICE,Approved,CHRISTINA  CARRIER ,CHRISTINA CARRIER,7/1/2022 10:28:35 AM,7/1/2022 2:44:42 PM,,7/1/2022 10:28:36 AM,7/1/2022 10:54:41 AM,,
8739297545300080,Dr James M Rubino DMD,Approved,STEVE SIEGAL,Steve Siegal,7/1/2022 10:10:35 AM,7/5/2022 9:08:05 AM,,7/1/2022 10:10:35 AM,7/1/2022 10:13:53 AM,,
554402050039403,GATES BAR B Q- CLEAVER,Approved,Michael Ostrander,Michael Ostrander,7/1/2022 10:03:57 AM,7/1/2022 2:33:57 PM,,7/1/2022 10:03:57 AM,7/1/2022 10:38:16 AM,,
,C & H Feed and Supply,Received,Elmo Hughes,SILVERADO BUSINES SERVICES LLC,7/1/2022 9:56:25 AM,,,7/1/2022 9:56:25 AM,7/3/2022 8:01:44 PM,,
554402000692392,Liquor Corner,Approved,Ziad Ibrahim,Ziad Ibrahim,7/1/2022 9:51:58 AM,7/5/2022 6:45:22 AM,,7/1/2022 9:51:58 AM,7/1/2022 1:48:52 PM,,
,P & M DETAIL SERVICES,Draft,Patrick Fitzgerald ,Patrick Fitzgerald,7/1/2022 9:50:17 AM,,,7/1/2022 9:50:17 AM,,,
,TIRE EXPRESS,Pending,George Bahamon,George Bahamon,7/1/2022 9:44:13 AM,,,7/1/2022 9:44:13 AM,7/1/2022 10:56:24 AM,,
56310000007759,QUICK LANE AT VANCE FORD LINCOLIN,Approved,CHRISTINA  CARRIER ,CHRISTINA CARRIER,7/1/2022 9:29:40 AM,7/1/2022 2:32:07 PM,,7/1/2022 9:29:40 AM,7/1/2022 10:25:31 AM,,
8739299330302179,TORTILLERIA EL METATE,Approved,Grayson Brower,Grayson Brower,7/1/2022 9:28:48 AM,7/1/2022 12:22:01 PM,,7/1/2022 9:28:48 AM,7/1/2022 10:26:41 AM,,
554402000692277,LAKESIDE CREAMERY,Approved,Natalie Fox,C4F2 Results,7/1/2022 7:24:03 AM,7/1/2022 11:44:44 AM,,7/1/2022 7:24:03 AM,7/1/2022 9:55:57 AM,,
,Smoothie Plus,Draft,Brandon James,Savvy Financial,6/30/2022 10:55:29 PM,,,6/30/2022 10:55:29 PM,,,
,Gadget Tool Choice,Received,Tim Reynolds,HRSS - Swoonlight,6/30/2022 7:30:32 PM,,,6/30/2022 7:30:32 PM,6/30/2022 7:34:08 PM,,
,Magic Pet Parade,Received,Tim Reynolds,HRSS - Swoonlight,6/30/2022 7:24:07 PM,,,6/30/2022 7:24:07 PM,6/30/2022 7:27:49 PM,,
554402050039379,DENTIST R US,Approved,David Glibowski,David Glibowski,6/30/2022 7:12:01 PM,7/1/2022 12:17:54 PM,,6/30/2022 7:12:01 PM,6/30/2022 7:16:53 PM,,
,Vehicle Garage Stuff,Received,Tim Reynolds,HRSS - Swoonlight,6/30/2022 7:11:09 PM,,,6/30/2022 7:11:09 PM,6/30/2022 7:18:22 PM,,
554402050039361,MESA DENTAL CARE,Approved,David Glibowski,David Glibowski,6/30/2022 7:05:58 PM,7/1/2022 11:52:54 AM,,6/30/2022 7:05:58 PM,6/30/2022 7:11:07 PM,,
,Liquor Up,Draft,Nick Bencivenga,dharma Merchant Services,6/30/2022 7:00:23 PM,,,6/30/2022 7:00:23 PM,,,
8739299330302182,JUAN'S NORTH OF THE BORDER,Approved,Jen Herd,Jen Herd,6/30/2022 6:52:02 PM,7/1/2022 2:17:54 PM,,6/30/2022 6:52:02 PM,6/30/2022 7:01:36 PM,,
,GLATT MART,Received,JUDAH ZAVDI,SWIPE PAYMENT SOLUTIONS INC,6/30/2022 6:40:59 PM,,,6/30/2022 6:40:59 PM,7/1/2022 4:47:44 PM,,
,Footy Rooty Bryan,Under Review,Aaron Huang,Aaron Huang(Hao Yuan),6/30/2022 6:29:33 PM,,,6/30/2022 6:29:33 PM,6/30/2022 6:29:33 PM,,
554402009789389,Hunan East,Approved,Vicky Chen,Xiuying Chen Affiliate( Penghui Wei),6/30/2022 6:26:02 PM,7/5/2022 1:50:29 AM,,6/30/2022 6:26:02 PM,6/30/2022 6:26:02 PM,,
,Ultimate Tans of Millsboro,Pending,Ross Church,CashBack Corporation,6/30/2022 6:14:13 PM,,,6/30/2022 6:14:13 PM,6/30/2022 6:14:13 PM,,
,BHAGAT FOOD MART,Pending,Joe McKee,Priority Payments Midwest,6/30/2022 6:14:09 PM,,,6/30/2022 6:14:09 PM,6/30/2022 6:37:10 PM,,
8739294150301389,New Field Spa,Approved,Mingxi Chen,Mingxi Chen (Rex Sun),6/30/2022 6:08:58 PM,7/1/2022 4:19:37 AM,,6/30/2022 6:08:58 PM,6/30/2022 6:08:58 PM,,
,Sunlight Massage,Pending,Aaron Huang,Aaron Huang(Hao Yuan),6/30/2022 6:02:12 PM,,,6/30/2022 6:02:12 PM,6/30/2022 6:02:12 PM,,
56310000007768,highendfitnessproducts.com,Approved,891 5283,8915283,6/30/2022 6:01:41 PM,7/5/2022 9:49:29 AM,,6/30/2022 6:01:41 PM,6/30/2022 6:10:11 PM,,
56310000007758,WINNIE RADIATOR SERVICE,Approved,Brad Aucoin,Brad Aucoin,6/30/2022 5:53:19 PM,7/1/2022 2:03:12 PM,,6/30/2022 5:53:19 PM,7/1/2022 9:43:22 AM,,
,SUNSTOPPERS OF HOUSTON,Pending,Ronnie Newton,Ronnie Newton,6/30/2022 5:46:41 PM,,,6/30/2022 5:46:41 PM,6/30/2022 6:35:11 PM,,
,Pingan Travel Inc,Declined,Leila Li,Leila Li,6/30/2022 5:40:58 PM,,,6/30/2022 5:40:58 PM,6/30/2022 5:40:58 PM,7/1/2022 4:16:24 PM,
,BRILEY'S PAINT AND BODY INC,Pending,Kayla Smith,Kayla Smith,6/30/2022 5:40:29 PM,,,6/30/2022 5:40:29 PM,6/30/2022 5:45:58 PM,,
,ReservedPrincipalPrima,Received,Emily Welling,8915267,6/30/2022 5:37:38 PM,,,6/30/2022 5:37:38 PM,6/30/2022 5:45:32 PM,,
554402009789363,Amity Massage Spa,Approved,Daniel Chen,Daniel Chen(Wenli Xiong),6/30/2022 5:25:05 PM,7/1/2022 5:06:29 AM,,6/30/2022 5:25:05 PM,6/30/2022 5:25:05 PM,,
554402009789371,Black Pearl Bubble Tea (Stamford Town Center),Approved,Leila Li,Leila Li,6/30/2022 5:18:06 PM,7/1/2022 9:15:30 AM,,6/30/2022 5:18:06 PM,6/30/2022 5:18:06 PM,,
554402009789355,Spicity,Approved,Raymond Yu,Touch Plus,6/30/2022 5:15:30 PM,7/1/2022 3:12:42 AM,,6/30/2022 5:15:30 PM,6/30/2022 5:15:30 PM,,
,Gift Shop at Park Lane Hotel,Pending,Zee Payment,Zee Payment,6/30/2022 5:12:08 PM,,,6/30/2022 5:12:08 PM,6/30/2022 5:12:08 PM,,
,THE NEON DOOR,Pending,Larry Wilburn,Larry Wilburn,6/30/2022 5:07:05 PM,,,6/30/2022 5:07:05 PM,7/1/2022 9:34:15 AM,,
,Raceway 6822,Draft,Kim McNeeley,Kim McNeeley,6/30/2022 5:05:47 PM,,,6/30/2022 5:05:47 PM,,,
,Nishimula Beauty Spa,Pending,Yuhan Sun,Yuhan Sun(Rufei Qian),6/30/2022 5:04:01 PM,,,6/30/2022 5:04:01 PM,6/30/2022 5:04:01 PM,,
,MIKE'S PIZZERIA,Received,Wilfredo  Leguisamon,Wilfredo Leguisamon,6/30/2022 5:03:50 PM,,,6/30/2022 5:03:50 PM,7/1/2022 4:31:16 PM,,
8739296850302557,THREE BROTHERS RESTAURANT & PIZZERIA,Approved,Frank Peralta,Union Square Payments,6/30/2022 5:01:53 PM,7/1/2022 4:23:50 AM,,6/30/2022 5:01:53 PM,6/30/2022 5:03:53 PM,,
,Nishimula Beauty Spa,Pending,Yuhan Sun,Yuhan Sun(Rufei Qian),6/30/2022 4:52:12 PM,,,6/30/2022 4:52:12 PM,6/30/2022 4:52:12 PM,,
8739299330302181,FOURTECH COMPUTER SERVICE,Approved,Fouad Maalouf,Fouad Maalouf,6/30/2022 4:46:10 PM,7/1/2022 1:27:50 PM,,6/30/2022 4:46:10 PM,6/30/2022 5:20:53 PM,,
554402050039353,INNER BAY RESTAURANT,Approved,Emilia Depina,Emilia Depina,6/30/2022 4:44:30 PM,7/1/2022 12:37:53 AM,,6/30/2022 4:44:30 PM,6/30/2022 5:12:31 PM,,
8739294150301390,V Spa,Approved,Wendy Chen,Wenjing Chen(Universal General),6/30/2022 4:38:40 PM,7/5/2022 4:26:27 AM,,6/30/2022 4:38:40 PM,6/30/2022 4:38:40 PM,,
,THRIFTY SHOPPER LIQUOR,Pending,Hani Shamout,"POS 360, INC.",6/30/2022 4:31:57 PM,,,6/30/2022 4:31:57 PM,6/30/2022 5:01:12 PM,,
,Raceway 6821,Draft,Kim McNeeley,Kim McNeeley,6/30/2022 4:28:09 PM,,,6/30/2022 4:28:09 PM,,,
,PRO SMILE DENTAL GROUP,Cancelled,Kevin Zhao,ZBS-Kevin,6/30/2022 4:28:07 PM,,,6/30/2022 4:28:07 PM,7/1/2022 11:03:48 AM,,
