DBA,Date Added,XMID,Assigned To,Date Created,Date Submitted,Date Approved,Date Closed,Status,Portfolio,Date Assigned
Chanticlear Pizza - Champlin,11/20/2019 4:34:15 PM,8739296850300553,Sarah Voehl,11/20/2019 4:34:15 PM,11/25/2019 12:24:50 PM,11/25/2019 4:27:43 PM,,Approved,Ingage iPayments,
Chanticlear Pizza - Champlin (Online),11/22/2019 4:57:50 PM,8739296850300559,Sarah Voehl,11/22/2019 4:57:50 PM,11/29/2019 8:26:20 AM,11/29/2019 10:48:12 AM,5/21/2020 11:11:20 AM,Approved,Ingage iPayments,
Chanticlear Pizza - Elk River,11/20/2019 5:16:27 PM,8739296850300555,Sarah Voehl,11/20/2019 5:16:27 PM,11/26/2019 10:31:50 AM,11/26/2019 12:09:07 PM,4/15/2022 12:18:25 PM,Closed,Ingage iPayments,
Chanticlear Pizza - Elk River (Online),11/22/2019 5:05:55 PM,8739296850300568,Sarah Voehl,11/22/2019 5:05:55 PM,11/27/2019 5:20:46 PM,12/4/2019 9:23:28 AM,4/14/2022 6:00:45 AM,Closed,Ingage iPayments,
Chanticlear Pizza - Forest Lake,11/20/2019 6:09:13 PM,8739296850300570,Sarah Voehl,11/20/2019 6:09:13 PM,12/3/2019 4:48:02 PM,12/4/2019 10:18:40 AM,,Approved,Ingage iPayments,
Chanticlear Pizza - Forest Lake (Online),11/22/2019 5:17:28 PM,8739296850300562,Sarah Voehl,11/22/2019 5:17:28 PM,12/2/2019 3:04:56 PM,12/3/2019 12:16:42 PM,,Approved,Ingage iPayments,
Chanticlear Pizza - Ham Lake,11/20/2019 5:57:53 PM,8739296850300572,Sarah Voehl,11/20/2019 5:57:53 PM,12/4/2019 1:26:11 PM,12/4/2019 2:38:55 PM,,Approved,Ingage iPayments,
Chanticlear Pizza - Ham Lake (Online),11/22/2019 5:09:16 PM,8739296850300563,Sarah Voehl,11/22/2019 5:09:16 PM,12/2/2019 3:08:38 PM,12/3/2019 1:49:18 PM,,Approved,Ingage iPayments,
Chanticlear Pizza - Isanti,2/14/2020 10:59:58 AM,8739298425300014,Sarah Voehl,2/14/2020 10:59:58 AM,2/17/2020 11:52:29 AM,2/19/2020 12:53:26 PM,,Approved,Ingage iPayments,
Chanticlear Pizza - Isanti (Online),4/15/2020 12:29:59 PM,8739298425300033,Sarah Voehl,4/15/2020 12:29:59 PM,4/27/2020 12:29:44 PM,4/28/2020 4:12:15 PM,,Approved,Ingage iPayments,
Chanticlear Pizza - Oak Grove,11/20/2019 6:32:39 PM,8739296850300566,Sarah Voehl,11/20/2019 6:32:39 PM,11/27/2019 2:48:48 PM,12/3/2019 5:58:02 PM,,Approved,Ingage iPayments,
Chanticlear Pizza - Oak Grove (Online),11/22/2019 5:22:30 PM,8739296850300567,Sarah Voehl,11/22/2019 5:22:30 PM,11/27/2019 3:36:38 PM,12/3/2019 6:08:43 PM,,Approved,Ingage iPayments,
Chanticlear Pizza Grill (Online),2/24/2021 4:08:53 PM,,Lisa Degnan,2/24/2021 4:08:53 PM,3/1/2021 9:32:18 AM,,,Cancelled,Ingage iPayments,
Chanticlear Pizza-Albertville (Online),4/12/2021 12:54:13 PM,8739298425300046,Lisa Degnan,4/12/2021 12:54:13 PM,4/30/2021 1:53:08 PM,4/30/2021 3:51:39 PM,,Approved,Ingage iPayments,
Chico's Place,11/25/2019 4:48:03 PM,8739296850300561,Sarah Voehl,11/25/2019 4:48:03 PM,11/26/2019 11:16:48 AM,12/3/2019 9:32:45 AM,,Approved,Ingage iPayments,
City Brew Hall,10/31/2019 3:26:22 PM,8739296850300523,Sarah Voehl,10/31/2019 3:26:22 PM,11/1/2019 1:05:57 PM,11/1/2019 6:06:46 PM,,Approved,Ingage iPayments,
City Brew Hall (Online),3/16/2020 4:45:43 PM,8739296850300735,Sarah Voehl,3/16/2020 4:45:43 PM,3/16/2020 5:06:12 PM,3/18/2020 9:44:08 AM,,Approved,Ingage iPayments,
"Consulting Engineering Services, Inc",3/3/2022 4:44:22 PM,8739298425300066,Lisa Degnan,3/3/2022 4:44:22 PM,3/4/2022 10:24:14 AM,3/14/2022 9:36:20 AM,,Approved,Ingage iPayments,
Cooper's Restaurant,9/24/2019 2:41:36 PM,8739296850300479,Sarah Voehl,9/24/2019 2:41:36 PM,9/27/2019 11:11:51 AM,9/27/2019 5:30:28 PM,,Approved,Ingage iPayments,
CR's Sports Bar,9/16/2019 12:25:09 PM,8739296850300541,Sarah Voehl,9/16/2019 12:25:09 PM,11/15/2019 2:48:21 PM,11/18/2019 9:34:19 AM,,Approved,Ingage iPayments,
David Fong's Restaurant,9/16/2019 12:46:44 PM,8739296850300470,Sarah Voehl,9/16/2019 12:46:44 PM,9/20/2019 1:02:23 PM,9/20/2019 6:14:22 PM,,Approved,Ingage iPayments,
Davido Consulting Group,12/9/2021 10:26:48 AM,8739298425300064,Lisa Degnan,12/9/2021 10:26:48 AM,1/10/2022 12:17:28 PM,1/21/2022 12:36:51 PM,,Approved,Ingage iPayments,
DCI Engineers,8/5/2021 9:36:14 AM,8739298425300059,Lisa Degnan,8/5/2021 9:36:14 AM,8/11/2021 9:57:43 AM,8/13/2021 8:18:43 AM,,Approved,Ingage iPayments,
DeSimone,1/29/2021 10:07:35 AM,8739298425300040,Lisa Degnan,1/29/2021 10:07:35 AM,2/2/2021 1:35:03 PM,2/3/2021 12:38:38 PM,,Approved,Ingage iPayments,
DiPrete Engineering,4/13/2022 1:37:51 PM,8739298425300068,Lisa Degnan,4/13/2022 1:37:51 PM,4/20/2022 2:56:24 PM,4/22/2022 1:47:21 PM,,Approved,Ingage iPayments,
DRAFT APP FOR CASH DISCOUNT,1/9/2020 1:24:36 PM,,Sarah Voehl,1/9/2020 1:24:36 PM,,,,Draft,Ingage iPayments,
DRAFT APP FOR PASS THROUGH,12/10/2019 5:13:51 PM,,Sarah Voehl,12/10/2019 5:13:51 PM,,,,Draft,Ingage iPayments,
DRAFT B2B APP,3/16/2021 8:29:43 AM,,Lisa Degnan,3/16/2021 8:29:43 AM,,,,Draft,Ingage iPayments,
E-COMM DRAFT,4/12/2021 12:49:40 PM,,Lisa Degnan,4/12/2021 12:49:41 PM,,,,Draft,Ingage iPayments,
"Edgar Minerals, Inc.",4/26/2021 1:11:01 PM,8739298425300050,Lisa Degnan,4/26/2021 1:11:01 PM,6/8/2021 9:15:58 AM,6/8/2021 1:28:32 PM,,Approved,Ingage iPayments,
Elmore Sand & Gravel,4/26/2021 12:28:47 PM,8739298425300057,Lisa Degnan,4/26/2021 12:28:47 PM,6/8/2021 9:16:37 AM,7/9/2021 11:32:06 AM,5/5/2022 10:29:30 AM,Closed,Ingage iPayments,
"EMCS, Inc.",3/23/2022 4:13:07 PM,8739298425300067,Lisa Degnan,3/23/2022 4:13:07 PM,3/24/2022 1:27:09 PM,3/25/2022 12:26:02 PM,,Approved,Ingage iPayments,
ENGEO Incorporated,1/15/2021 4:20:49 PM,,Lisa Degnan,1/15/2021 4:20:49 PM,2/1/2021 11:47:56 AM,,,Cancelled,Ingage iPayments,
Fielder's Choice Tap & Table,10/14/2019 11:06:23 AM,8739296850300508,Sarah Voehl,10/14/2019 11:06:23 AM,10/18/2019 3:18:37 PM,10/18/2019 4:48:41 PM,,Approved,Ingage iPayments,
GPD Group,4/26/2021 1:57:53 PM,8739298425300045,Lisa Degnan,4/26/2021 1:57:53 PM,4/26/2021 4:10:51 PM,4/27/2021 2:25:33 PM,,Approved,Ingage iPayments,
"Henderson Engineers, Inc.",3/15/2021 3:53:46 PM,8739298425300044,Lisa Degnan,3/15/2021 3:53:46 PM,3/15/2021 5:42:06 PM,3/16/2021 4:25:39 PM,,Approved,Ingage iPayments,
"Henderson Rogers Structural Engineers, LLC",6/14/2021 4:42:57 PM,8739298425300055,Lisa Degnan,6/14/2021 4:42:57 PM,6/23/2021 2:41:07 PM,6/29/2021 5:00:39 PM,,Approved,Ingage iPayments,
HLB Lighting Design,2/28/2022 10:46:09 AM,8739298425300065,Lisa Degnan,2/28/2022 10:46:09 AM,2/28/2022 11:34:32 AM,3/7/2022 11:11:27 AM,,Approved,Ingage iPayments,
"Horrocks Engineers, Inc.",6/7/2021 12:09:33 PM,8739298425300054,Lisa Degnan,6/7/2021 12:09:33 PM,6/10/2021 11:25:01 AM,6/25/2021 9:36:24 AM,,Approved,Ingage iPayments,
Ideal Agent,12/2/2021 12:40:41 PM,8739298425300063,Lisa Degnan,12/2/2021 12:40:41 PM,12/14/2021 11:41:29 AM,1/12/2022 10:11:25 AM,,Approved,Ingage iPayments,
Los Iconos (Online),11/2/2021 1:32:24 PM,8739298425300062,Lisa Degnan,11/2/2021 1:32:24 PM,11/11/2021 12:08:20 PM,11/11/2021 5:59:51 PM,12/20/2021 9:46:04 AM,Approved,Ingage iPayments,
Maxx Bar & Grill,12/2/2019 12:39:18 PM,8739296850300577,Sarah Voehl,12/2/2019 12:39:18 PM,12/5/2019 11:56:49 AM,12/5/2019 5:18:54 PM,,Approved,Ingage iPayments,
Mead & Hunt,3/10/2021 9:12:44 AM,8739298425300043,Lisa Degnan,3/10/2021 9:12:44 AM,3/10/2021 4:08:22 PM,3/11/2021 11:03:05 AM,2/8/2022 10:48:08 AM,Closed,Ingage iPayments,
Neisen's Riverside Sports Bar,10/31/2019 11:59:07 AM,8739296850300549,Sarah Voehl,10/31/2019 11:59:07 AM,11/21/2019 3:05:51 PM,11/22/2019 11:25:35 AM,,Approved,Ingage iPayments,
Papa's Italian,10/24/2019 10:57:21 AM,8739296850300517,Sarah Voehl,10/24/2019 10:57:21 AM,10/30/2019 12:03:45 PM,10/30/2019 3:16:57 PM,,Approved,Ingage iPayments,
"Pape-Dawson Engineers, Inc.",2/5/2021 4:25:02 PM,8739298425300042,Lisa Degnan,2/5/2021 4:25:02 PM,2/5/2021 6:03:24 PM,2/11/2021 10:02:48 AM,2/15/2022 1:34:17 PM,Closed,Ingage iPayments,
Pog Mahone's,10/3/2019 3:58:46 PM,8739296850300498,Sarah Voehl,10/3/2019 3:58:46 PM,10/10/2019 2:23:25 PM,10/11/2019 1:45:15 PM,,Approved,Ingage iPayments,
"Poole Fire Protection, Inc.",1/25/2021 3:15:05 PM,8739298425300041,Lisa Degnan,1/25/2021 3:15:05 PM,2/4/2021 8:34:41 AM,2/8/2021 10:37:42 AM,,Approved,Ingage iPayments,
Providence Engineering and Environmental Group,4/27/2021 11:37:19 AM,8739298425300047,Lisa Degnan,4/27/2021 11:37:19 AM,5/10/2021 12:08:44 PM,5/10/2021 3:18:52 PM,,Approved,Ingage iPayments,
Reunion (Online),9/28/2021 11:19:56 AM,8739298425300061,Lisa Degnan,9/28/2021 11:19:56 AM,9/28/2021 11:59:15 AM,9/28/2021 1:53:45 PM,,Approved,Ingage iPayments,
Shakopee Bowl,9/12/2019 4:41:46 PM,8739296850300461,Sarah Voehl,9/12/2019 4:41:46 PM,9/12/2019 5:00:01 PM,9/13/2019 10:11:01 AM,,Approved,Ingage iPayments,
Shakopee Bowl (Online),5/27/2021 2:03:12 PM,8739298425300049,Lisa Degnan,5/27/2021 2:03:12 PM,6/2/2021 2:02:34 PM,6/2/2021 5:14:21 PM,,Approved,Ingage iPayments,
Socotec Consulting,9/17/2021 4:10:57 PM,8739298425300060,Lisa Degnan,9/17/2021 4:10:57 PM,9/17/2021 5:13:52 PM,9/21/2021 9:02:57 AM,,Approved,Ingage iPayments,
Standard Sand & Silica Company,3/16/2021 9:27:39 AM,8739298425300058,Lisa Degnan,3/16/2021 9:27:39 AM,6/8/2021 9:16:55 AM,7/9/2021 11:53:25 AM,5/5/2022 12:31:54 PM,Closed,Ingage iPayments,
SteVelly's Steak,3/16/2020 3:59:31 PM,8739298425300036,Sarah Voehl,3/16/2020 3:59:31 PM,5/8/2020 12:44:28 PM,6/17/2020 3:27:29 PM,,Approved,Ingage iPayments,
"Surface Prep Supply, Inc.",3/16/2021 8:31:56 AM,8739298425300056,Lisa Degnan,3/16/2021 8:31:56 AM,6/8/2021 9:15:23 AM,7/9/2021 11:09:44 AM,5/5/2022 12:40:07 PM,Closed,Ingage iPayments,
Tavern 13,9/24/2019 2:40:54 PM,8739296850300489,Sarah Voehl,9/24/2019 2:40:54 PM,10/2/2019 6:29:06 PM,10/4/2019 9:45:28 AM,,Approved,Ingage iPayments,
Ted's Pizza Palace,12/10/2019 5:32:24 PM,,Sarah Voehl,12/10/2019 5:32:24 PM,12/11/2019 3:11:27 PM,,,Cancelled,Ingage iPayments,
The Dubliner,9/11/2019 6:16:48 PM,8739296850300459,Sarah Voehl,9/11/2019 6:16:48 PM,9/12/2019 2:57:09 PM,9/12/2019 4:10:47 PM,,Approved,Ingage iPayments,
The Loon Cafe,12/12/2019 3:20:20 PM,8739298425300003,Sarah Voehl,12/12/2019 3:20:20 PM,12/18/2019 12:32:45 PM,12/24/2019 9:33:36 AM,5/21/2020 12:48:49 PM,Closed,Ingage iPayments,
"The S/L/A/M Collaborative, Inc.",12/4/2020 12:40:25 PM,8739298425300038,Sarah Voehl,12/4/2020 12:40:25 PM,12/10/2020 7:01:09 PM,12/11/2020 4:55:42 PM,4/5/2021 3:25:03 PM,Approved,Ingage iPayments,
The Stray Dog,9/11/2019 5:53:24 PM,8739296850300477,Sarah Voehl,9/11/2019 5:53:24 PM,9/24/2019 12:35:30 PM,9/24/2019 6:38:38 PM,,Approved,Ingage iPayments,
The Tilted Tiki Tropical Bar & Restaurant,11/14/2019 1:45:39 PM,8739296850300558,Sarah Voehl,11/14/2019 1:45:39 PM,11/27/2019 4:40:40 PM,11/29/2019 10:27:54 AM,,Approved,Ingage iPayments,
Trail Stop Tavern,12/11/2019 5:51:29 PM,8739298435300001,Sarah Voehl,12/11/2019 5:51:29 PM,12/12/2019 4:03:43 PM,12/13/2019 10:57:35 AM,1/16/2020 10:49:41 AM,Closed,Ingage iPayments,
"Transsystems, Inc.",4/26/2021 12:13:22 PM,8739298425300052,Lisa Degnan,4/26/2021 12:13:22 PM,6/8/2021 9:16:19 AM,6/9/2021 10:00:42 AM,,Approved,Ingage iPayments,
Two Stooges Sports Bar and Grill,1/9/2020 5:42:39 PM,8739298425300009,Sarah Voehl,1/9/2020 5:42:39 PM,1/13/2020 4:56:29 PM,1/14/2020 2:43:36 PM,,Approved,Ingage iPayments,
Up North Pizza Pub,10/31/2019 3:16:34 PM,8739296850300525,Sarah Voehl,10/31/2019 3:16:34 PM,11/4/2019 11:21:51 AM,11/4/2019 4:06:31 PM,,Approved,Ingage iPayments,
Up North Pizza Pub (Online),12/3/2020 10:53:48 AM,,Lisa Degnan,12/3/2020 10:53:48 AM,,,,Draft,Ingage iPayments,
Walsdorf Metal Works,4/26/2021 11:35:20 AM,8739298425300051,Lisa Degnan,4/26/2021 11:35:20 AM,6/8/2021 9:15:42 AM,6/9/2021 9:30:01 AM,,Approved,Ingage iPayments,
Wilson & Company,5/27/2021 12:56:24 PM,8739298425300053,Lisa Degnan,5/27/2021 12:56:24 PM,6/17/2021 4:55:45 PM,6/18/2021 12:42:12 PM,,Approved,Ingage iPayments,
WSB,9/1/2020 2:04:04 PM,8739298425300037,Sarah Voehl,9/1/2020 2:04:04 PM,9/22/2020 6:41:11 PM,9/23/2020 11:59:45 AM,9/23/2020 1:33:23 PM,Approved,Ingage iPayments,
